optimizer,learning_rate,run_idx,best_val_acc,best_val_f1,final_val_loss,test_accuracy,test_f1,total_time_s
AdamW,1.529395276124993e-05,1,0.8825,0.8823345329369425,0.3707613351196051,0.876,0.8756637949014134,6281.571445226669
AdamW,0.0001227111877391865,2,0.8425,0.8424517508486974,0.5052302651107311,0.824,0.8237716080039732,4813.618312120438
AdamW,0.00020764908972522908,3,0.815,0.8149814981498149,0.5995162698626518,0.798,0.7979991919967679,4672.698910951614
SGD,1.1325548759618388e-06,1,0.4975,0.332220367278798,0.697238917350769,0.5,0.3368559545030133,4580.0979862213135
SGD,1.3126480128202439e-06,2,0.4975,0.332220367278798,0.6972231507301331,0.5,0.3368559545030133,4613.961807489395
SGD,5.76150766343344e-05,3,0.57,0.557203171661003,0.6906121420860291,0.6,0.5889442443973101,4658.54726266861
Adafactor,2.1419071184269757e-06,1,0.83,0.8299617413918132,0.3946637964248657,0.846,0.8459944558004089,4771.113165140152
Adafactor,4.97324032632489e-06,2,0.8625,0.8623546120589873,0.3476420439779758,0.866,0.8658062241877271,5417.6817054748535
Adafactor,1.244981858377073e-05,3,0.8775,0.8767597884795554,0.3892606972903013,0.854,0.8528077427159997,4968.440281629562
